window,n,started_before,ended_differently,ended_after,mean,median,stdDev,var,minimum,maximum
0.0,2019.0,39.0,1332.0,170.0,328.84158257751363,97.500883,783.8867621562495,614478.4558838084,14.172527,10332.294617
1.0,1707.0,72.0,862.0,154.0,305.1261587188049,82.57806,802.0671087095208,643311.6468736501,15.550062,10050.437777
2.0,1895.0,53.0,1157.0,191.0,351.46382931503956,112.451811,810.3978560903563,656744.6851558458,16.494563,12409.112666
3.0,2053.0,65.0,1630.0,308.0,389.6719531787628,138.006284,866.2094066269656,750318.7361290398,16.243804,11795.190134
4.0,2202.0,108.0,1597.0,168.0,394.9579626407811,153.46226000000001,849.8994594224291,722329.0911265372,18.158254,12209.908495
5.0,1970.0,66.0,1462.0,328.0,499.6456700055837,172.5646685,1065.7402011973736,1135802.1764482185,18.942842,13421.791709
